"rule";"condition";"eval"
"Rule 1";"BUPERCTOT_2000 <= 0.012969f";"add(-4.12e-05f * Intercept, 1.22f * BUPERCTOT_2000)"
"Rule 10";"BUPERCTOT_2000 > 0.11976f";"add(0.0694804f * Intercept, 0.89f * BUPERCTOT_2000, -0.026f * TRI_mean, 7.1e-06f * Elevation, -0.0001f * Grid_costs_atleast_to_towns, 0.00014f * Grid_costs_atleast_to_villages, 0.0001f * Distance2LargeInlandWater, 0.0007f * Earthquakes_MMI_Index, -0.0007f * ln_PopulationDensity_2000_8dir, -0.005f * IsFloodProneArea_RP100, -0.004f * LandSlideProne_ARUP, -8e-06f * Distance2Coastline)"
"Rule 2";"BUPERCTOT_2000 > 0.012969f && BUPERCTOT_2000 <= 0.029205f";"add(0.0001166f * Intercept, 1.24f * BUPERCTOT_2000, 1.3e-06f * Elevation, -3e-05f * Grid_costs_atleast_to_villages, -1e-05f * Grid_costs_atleast_to_cities)"
"Rule 3";"BUPERCTOT_2000 > 0.012969f && BUPERCTOT_2000 <= 0.056534f && Distance2SecundaryRoads <= 2.00193f && Grid_costs_atleast_to_towns <= 7f";"add(0.0006429f * Intercept, -0.001008f * Distance2SecundaryRoads, 1.28f * BUPERCTOT_2000, -0.00039f * Grid_costs_atleast_to_villages, -0.00012f * Grid_costs_atleast_to_towns, 3.5e-06f * Elevation, 0.0007f * ln_PopulationDensity_2000_8dir, -0.0006f * slope, -2e-05f * Grid_costs_atleast_to_cities, -6e-06f * Distance2MajorRoads)"
"Rule 4";"BUPERCTOT_2000 > 0.012969f && Distance2SecundaryRoads <= 2.00193f && Grid_costs_atleast_to_towns > 7f";"add(0.0005745f * Intercept, -0.00113f * Distance2SecundaryRoads, 1.14f * BUPERCTOT_2000, 0.0011f * ln_PopulationDensity_2000_8dir, 2.3e-06f * Elevation, -6e-05f * Grid_costs_atleast_to_villages, -3e-05f * Grid_costs_atleast_to_towns, -0.0003f * slope, -1e-05f * Grid_costs_atleast_to_cities)"
"Rule 5";"BUPERCTOT_2000 > 0.012969f && BUPERCTOT_2000 <= 0.11976f && ln_PopulationDensity_2000_8dir > 5.403217f && Grid_costs_atleast_to_cities > 27f";"add(-0.0060326f * Intercept, 1.13f * BUPERCTOT_2000, 0.0038f * ln_PopulationDensity_2000_8dir, -0.00012f * Grid_costs_atleast_to_towns, -3.9e-05f * Distance2SecundaryRoads, -0.0013f * slope, 3.7e-06f * Elevation, -0.008f * IsFloodProneArea_RP100, 0.00011f * Grid_costs_atleast_to_villages, 1.7e-05f * Distance2MajorRoads, -0.005f * TRI_mean)"
"Rule 6";"BUPERCTOT_2000 > 0.029205f && Distance2SecundaryRoads > 2.00193f";"add(0.0060009f * Intercept, 1.1f * BUPERCTOT_2000, 2.2e-06f * Elevation, 0.0005f * ln_PopulationDensity_2000_8dir, -3e-05f * Grid_costs_atleast_to_cities, -3e-05f * Grid_costs_atleast_to_towns, -4e-05f * Grid_costs_atleast_to_villages, -0.0002f * slope)"
"Rule 7";"BUPERCTOT_2000 > 0.012969f && BUPERCTOT_2000 <= 0.11976f && ln_PopulationDensity_2000_8dir > 5.403217f && Grid_costs_atleast_to_cities <= 27f";"add(-0.0046855f * Intercept, 1.04f * BUPERCTOT_2000, -0.00066f * Grid_costs_atleast_to_towns, 0.0045f * ln_PopulationDensity_2000_8dir, -0.0017f * slope, 3.9e-05f * Distance2Coastline, 0.00013f * Distance2LargeInlandWater, 4.4e-06f * Elevation, -0.009f * IsFloodProneArea_RP100, -0.01f * TRI_mean, -0.006f * IsProtectedArea, 0.0004f * Earthquakes_MMI_Index, -0.002f * LandSlideProne_ARUP)"
"Rule 8";"BUPERCTOT_2000 > 0.012969f && BUPERCTOT_2000 <= 0.11976f && ln_PopulationDensity_2000_8dir > 5.403217f && Grid_costs_atleast_to_towns <= 0f";"add(0.058889f * Intercept, 0.71f * BUPERCTOT_2000, 0.0058f * ln_PopulationDensity_2000_8dir, -0.000146f * Distance2SecundaryRoads, -0.047f * TRI_mean, 0.00033f * Distance2LargeInlandWater, -0.028f * IsFloodProneArea_RP100, 7.7e-05f * Distance2Coastline, 1.11e-05f * Elevation, -0.00015f * Grid_costs_atleast_to_cities, -0.013f * LandSlideProne_ARUP, -0.017f * IsProtectedArea, -0.001f * slope, -0.0004f * Earthquakes_MMI_Index)"
"Rule 9";"BUPERCTOT_2000 > 0.056534f && ln_PopulationDensity_2000_8dir <= 5.403217f && Distance2SecundaryRoads <= 2.00193f && Grid_costs_atleast_to_towns <= 7f";"add(0.0177916f * Intercept, -0.002884f * Distance2SecundaryRoads, 1.01f * BUPERCTOT_2000, -0.00034f * Grid_costs_atleast_to_towns, -0.0017f * slope, 5e-06f * Elevation, 0.0011f * ln_PopulationDensity_2000_8dir, -0.007f * IsFloodProneArea_RP100, -4e-05f * Grid_costs_atleast_to_cities, 4e-05f * Distance2LargeInlandWater, 6e-06f * Distance2Coastline)"
